epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,2828.38,1.14246,1.41495,1.58194,0.22712,0.36079,0.26825,0.181,1.12806,3.31562,2.08071,0.0086833,0.0086833,0.0086833
135,2849.27,1.13336,1.43963,1.57355,0.20554,0.30667,0.20773,0.14079,1.34627,3.05901,2.26638,0.0086734,0.0086734,0.0086734
136,2870.09,1.14118,1.42891,1.57052,0.25573,0.30612,0.23553,0.15411,1.25292,3.85248,2.18293,0.0086635,0.0086635,0.0086635
137,2891.02,1.13408,1.4399,1.56663,0.25493,0.27837,0.2317,0.15415,1.21041,3.98802,2.10606,0.0086536,0.0086536,0.0086536
138,2911.82,1.15193,1.40991,1.56827,0.30801,0.30475,0.2769,0.17946,1.32576,2.86688,2.25832,0.0086437,0.0086437,0.0086437
139,2932.69,1.11709,1.42349,1.55272,0.2108,0.26981,0.24528,0.13704,1.28774,3.80641,2.17552,0.0086338,0.0086338,0.0086338
140,2953.64,1.11613,1.40464,1.55399,0.15206,0.42061,0.24746,0.15666,1.2413,2.79268,2.16143,0.0086239,0.0086239,0.0086239
141,2974.51,1.10054,1.36166,1.54559,0.35823,0.27523,0.26164,0.17988,1.25116,3.00597,2.19582,0.008614,0.008614,0.008614
142,2995.42,1.12809,1.46373,1.55696,0.29735,0.30017,0.29495,0.19525,1.27849,3.38403,2.19612,0.0086041,0.0086041,0.0086041
143,3016.32,1.12224,1.41873,1.56666,0.30091,0.26667,0.26671,0.17253,1.1388,3.39532,2.02716,0.0085942,0.0085942,0.0085942
144,3037.08,1.09781,1.35785,1.54249,0.22027,0.26894,0.2253,0.13862,1.29617,3.35424,2.24832,0.0085843,0.0085843,0.0085843
145,3057.86,1.12329,1.38331,1.54891,0.2367,0.3776,0.29236,0.19334,1.2686,3.30687,2.21451,0.0085744,0.0085744,0.0085744
