epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,790.479,1.04759,0.96012,1.59194,0.62229,0.70397,0.65911,0.45116,1.4798,0.93518,2.68525,0.0090595,0.0090595,0.0090595
97,798.685,1.07897,1.00825,1.57671,0.6683,0.73534,0.74204,0.45922,1.38536,0.87099,2.522,0.0090496,0.0090496,0.0090496
98,806.796,1.08318,0.97553,1.59808,0.5469,0.79629,0.76739,0.46518,1.49744,1.1077,2.55266,0.0090397,0.0090397,0.0090397
99,815.531,1.08106,0.93099,1.56691,0.64425,0.78632,0.7606,0.48718,1.64095,0.89355,2.60588,0.0090298,0.0090298,0.0090298
100,823.783,1.08707,0.97092,1.58698,0.70676,0.8,0.75477,0.471,1.52189,0.871,2.47854,0.0090199,0.0090199,0.0090199
101,832.241,1.0742,0.95427,1.57276,0.6454,0.89099,0.72593,0.40897,1.48942,1.22606,2.37563,0.00901,0.00901,0.00901
102,841.351,1.04315,0.99865,1.54313,0.67821,0.71851,0.71169,0.46872,1.48728,1.12642,2.34988,0.0090001,0.0090001,0.0090001
103,849.887,1.05315,0.99995,1.5528,0.76248,0.82173,0.79467,0.48721,1.58049,1.04101,2.3406,0.0089902,0.0089902,0.0089902
104,858.399,1.08025,0.96756,1.59035,0.71003,0.8,0.68439,0.42459,1.58731,1.04587,2.42278,0.0089803,0.0089803,0.0089803
105,866.645,1.07982,0.93895,1.57517,0.769,0.8,0.76413,0.48123,1.71314,0.9547,2.73367,0.0089704,0.0089704,0.0089704
106,875.269,1.12111,0.9815,1.60397,0.70504,0.73333,0.69728,0.47354,1.62872,0.93433,2.68758,0.0089605,0.0089605,0.0089605
107,883.715,1.0892,0.91877,1.58738,0.67294,0.77322,0.77424,0.50045,1.30405,0.82941,2.23465,0.0089506,0.0089506,0.0089506
108,892.007,1.08026,0.92175,1.58542,0.67168,0.73333,0.65648,0.47674,1.48772,0.81824,2.5109,0.0089407,0.0089407,0.0089407
109,900.516,1.07523,0.92273,1.57312,0.68149,0.8,0.70897,0.45904,1.5356,0.94093,2.43351,0.0089308,0.0089308,0.0089308
110,908.729,1.07723,0.97371,1.5831,0.69912,0.73333,0.69947,0.50055,1.30775,0.84539,2.31629,0.0089209,0.0089209,0.0089209
111,916.945,1.10302,1.02971,1.60153,0.61396,0.65529,0.78596,0.48017,1.29726,1.06957,2.24193,0.008911,0.008911,0.008911
112,925.447,1.11238,1.00095,1.6153,0.67484,0.72685,0.72377,0.48257,1.36668,1.02849,2.39991,0.0089011,0.0089011,0.0089011
113,933.897,1.09566,0.93453,1.59464,0.82609,0.63174,0.80139,0.4877,1.34964,1.13397,2.32281,0.0088912,0.0088912,0.0088912
114,942.422,1.06756,0.95556,1.58014,0.63435,0.80441,0.79465,0.48379,1.43142,1.3088,2.45887,0.0088813,0.0088813,0.0088813
115,950.858,1.0135,0.97733,1.53899,0.71035,0.75956,0.83904,0.47456,1.66501,0.98957,2.66882,0.0088714,0.0088714,0.0088714
116,959.445,1.04283,0.95349,1.54287,0.76841,0.86667,0.81556,0.51725,1.53327,0.88994,2.47835,0.0088615,0.0088615,0.0088615
117,967.815,1.043,0.91432,1.55161,0.79634,0.80459,0.81544,0.45495,1.59925,1.0393,2.50583,0.0088516,0.0088516,0.0088516
118,976.141,1.07221,0.91485,1.59076,0.61116,0.82682,0.72696,0.42505,1.53718,1.17677,2.49582,0.0088417,0.0088417,0.0088417
119,984.823,1.07733,0.91803,1.57603,0.66436,0.68573,0.69402,0.45975,1.4337,0.82703,2.39634,0.0088318,0.0088318,0.0088318
120,993.574,1.059,0.91321,1.56196,0.68791,0.73333,0.73235,0.50373,1.45866,0.82933,2.47627,0.0088219,0.0088219,0.0088219
121,1002.02,0.99914,0.87395,1.52257,0.7017,0.73333,0.72147,0.52639,1.56177,0.8698,2.52684,0.008812,0.008812,0.008812
122,1010.3,1.03509,0.91922,1.54408,0.64894,0.69791,0.6386,0.43133,1.46764,1.14673,2.47073,0.0088021,0.0088021,0.0088021
123,1019.05,1.00999,0.91932,1.52825,0.70435,0.73333,0.70016,0.44405,1.5473,0.86341,2.69591,0.0087922,0.0087922,0.0087922
124,1027.81,1.06948,0.95068,1.60186,0.73823,0.76,0.82439,0.4947,1.46481,1.04099,2.47497,0.0087823,0.0087823,0.0087823
125,1036.54,1.01464,0.90113,1.5446,0.72361,0.77669,0.83151,0.55069,1.30951,1.0294,2.14532,0.0087724,0.0087724,0.0087724
126,1044.95,1.05664,0.95406,1.56761,0.7479,0.8,0.81919,0.52581,1.44511,0.99097,2.36802,0.0087625,0.0087625,0.0087625
127,1053.37,1.05071,0.90395,1.56221,0.67305,0.71361,0.71998,0.45139,1.29396,1.06149,2.18869,0.0087526,0.0087526,0.0087526
128,1061.73,1.09199,0.94353,1.57993,0.76286,0.78809,0.75502,0.46727,1.68894,0.82559,2.58067,0.0087427,0.0087427,0.0087427
129,1070.38,1.05775,0.88303,1.56656,0.81299,1,0.93786,0.55948,1.43072,0.80855,2.26131,0.0087328,0.0087328,0.0087328
130,1079.05,1.05336,0.93855,1.56288,0.83736,0.86379,0.83813,0.45066,1.5272,0.709,2.48549,0.0087229,0.0087229,0.0087229
131,1087.43,0.99538,0.90882,1.52927,0.71947,0.85215,0.79693,0.53259,1.37922,0.91537,2.25266,0.008713,0.008713,0.008713
132,1096.05,1.01472,0.96305,1.53946,0.57705,0.65117,0.60637,0.40525,1.68194,1.08017,2.66541,0.0087031,0.0087031,0.0087031
133,1104.12,1.00339,0.89995,1.51478,0.57415,0.83576,0.77648,0.52481,1.45702,1.0059,2.53347,0.0086932,0.0086932,0.0086932
134,1112.21,1.00578,0.93374,1.51717,0.49529,0.8,0.66115,0.41715,1.51221,1.31618,2.5102,0.0086833,0.0086833,0.0086833
135,1120.24,1.03358,0.97455,1.53162,0.64546,0.71981,0.64791,0.41712,1.36317,0.82288,2.16459,0.0086734,0.0086734,0.0086734
136,1128.27,1.01694,0.95319,1.52692,0.66072,0.86667,0.84989,0.53889,1.28621,0.90382,2.12075,0.0086635,0.0086635,0.0086635
137,1136.35,0.96158,0.93518,1.52296,0.60959,0.73333,0.65397,0.44247,1.56654,0.92494,2.59654,0.0086536,0.0086536,0.0086536
138,1144.51,1.03311,0.89169,1.55332,0.832,0.73333,0.77767,0.54166,1.49871,0.74587,2.55683,0.0086437,0.0086437,0.0086437
139,1152.61,1.00335,0.88386,1.52289,0.69173,0.53333,0.75826,0.50423,1.30218,2.05504,2.47346,0.0086338,0.0086338,0.0086338
140,1160.65,1.03991,0.87748,1.55196,0.71377,0.73333,0.68617,0.49601,1.43368,0.85416,2.57501,0.0086239,0.0086239,0.0086239
141,1168.79,0.997,0.84969,1.54248,0.78603,0.8,0.81409,0.50749,1.51201,0.9123,2.50937,0.008614,0.008614,0.008614
142,1176.93,0.9712,0.8448,1.49998,0.70054,0.71376,0.71585,0.52036,1.46161,0.80176,2.42706,0.0086041,0.0086041,0.0086041
143,1185.04,0.99587,0.94559,1.52249,0.71425,0.69464,0.69249,0.46695,1.56122,0.99861,2.55363,0.0085942,0.0085942,0.0085942
144,1193.12,1.00313,0.90991,1.52004,0.78163,0.75148,0.7975,0.49835,1.41651,0.7535,2.49975,0.0085843,0.0085843,0.0085843
145,1201.21,1.02114,0.90841,1.53318,0.70699,0.68522,0.71031,0.43238,1.63385,1.04449,2.60365,0.0085744,0.0085744,0.0085744
146,1209.31,0.99177,0.87914,1.52076,0.60597,0.71662,0.67247,0.44617,1.60591,0.93672,2.63234,0.0085645,0.0085645,0.0085645
147,1217.41,1.02333,0.89789,1.52533,0.7069,0.74004,0.74828,0.4971,1.58346,0.90006,2.68621,0.0085546,0.0085546,0.0085546
148,1225.51,1.04845,0.91702,1.53995,0.69835,0.73333,0.82712,0.53827,1.43347,0.95822,2.54688,0.0085447,0.0085447,0.0085447
149,1233.61,0.98864,0.87514,1.51039,0.70624,0.73333,0.71951,0.50089,1.56861,0.71918,2.63585,0.0085348,0.0085348,0.0085348
150,1241.71,1.02323,0.87319,1.54332,0.79533,0.86667,0.85962,0.49553,1.43148,0.83066,2.20519,0.0085249,0.0085249,0.0085249
151,1249.82,1.00861,0.89507,1.53188,0.75317,0.65108,0.67288,0.43924,1.45939,0.92019,2.22015,0.008515,0.008515,0.008515
152,1257.89,0.98834,0.90736,1.52236,0.61927,0.66667,0.68407,0.45654,1.18045,1.02743,2.18736,0.0085051,0.0085051,0.0085051
153,1266.01,0.99587,0.84657,1.52582,0.61214,0.70216,0.72474,0.50373,1.37832,0.94406,2.47204,0.0084952,0.0084952,0.0084952
154,1274.15,1.01412,0.8835,1.5196,0.66493,0.77315,0.66233,0.44986,1.51248,1.09599,2.53126,0.0084853,0.0084853,0.0084853
155,1282.2,1.01765,0.88188,1.53339,0.71286,0.8,0.76162,0.50202,1.43864,0.96942,2.44075,0.0084754,0.0084754,0.0084754
156,1290.29,0.996,0.85498,1.51435,0.67849,0.66667,0.68266,0.45158,1.59403,0.77523,2.58316,0.0084655,0.0084655,0.0084655
157,1298.38,1.0028,0.82152,1.54332,0.67586,0.79894,0.74687,0.48855,1.48814,0.8037,2.53227,0.0084556,0.0084556,0.0084556
158,1306.54,1.01054,0.83264,1.53027,0.74799,0.73333,0.75411,0.50159,1.38692,0.8434,2.42165,0.0084457,0.0084457,0.0084457
